FID,(atom depth)-seq,Multiplicity seq, Charge seq
1, C4 0 H1 1, 1, 0 0
2, C4 0 H1 1 H1 1, 1 1, 0 0 0
3, C4 0,, 0
4, C4 0 O2 1, 2, 0 0
5, N3 0,, 0
6, C4 0 C4 1 H1 2 H1 2 H1 2, 1 1 1 1, 0 0 0 0 0
7, C4 0 Cl1 1, 1, 0 0
8, N3 0 H1 1, 1, 0 0
9, O2 0,, 0
10, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0
11, C4 0 O2 1 H1 2, 1 1, 0 0 0
12, C4 0 H1 1 O2 1 H1 2, 1 1 1, 0 0 0 0
13, C4 0 N3 1 H1 2 H1 2, 1 1 1, 0 0 0 0
14, O2 0 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
15, C4 0 O2 1 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1, 0 0 0 0 0 0
16, S2 0,, 0
17, C4 0 N3 1 O2 2 O2 2, 1 1 2, 0 1 -1 0
18, C4 0 H1 1 C4 1 H1 2 H1 2 H1 2, 1 1 1 1 1, 0 0 0 0 0 0
19, N3 0 C4 1 H1 2 H1 2 H1 2, 1 1 1 1, 0 0 0 0 0
20, C4 0 H1 1 H1 1 C4 1 O2 2 O2 2 H1 3, 1 1 1 2 1 1, 0 0 0 0 0 0 0
21, S6 0 O2 1 O2 1, 2 2, 0 0 0
22, C4 0 F1 1, 1, 0 0
23, C4 0 Br1 1, 1, 0 0
24, C4 0 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
25, C4 0 C4 1 O2 2 O2 2 H1 3, 1 2 1 1, 0 0 0 0 0
26, C4 0 O2 1 O2 1 C4 2 H1 3 H1 3 H1 3, 2 1 1 1 1 1, 0 0 0 0 0 0 0
27, C4 0 I1 1, 1, 0 0
28, C4 0 C4 1 H1 2 H1 2 H1 2 C4 1 H1 2 H1 2 H1 2, 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0
29, O2 0 C4 1 O2 2 C4 2 H1 3 H1 3 H1 3, 1 2 1 1 1 1, 0 0 0 0 0 0 0
30, C4 0 H1 1 H1 1 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0
31, C4 0 H1 1 H1 1 C4 1 H1 2 C4 2 H1 3 H1 3, 1 1 1 1 2 1 1, 0 0 0 0 0 0 0 0
32, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 O2 2 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
33, P5 0 S2 1, 2, 0 0
34, C4 0 S2 1, 2, 0 0
35, N3 0 H1 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0
